Sampling rate,k,mae,stdv
1,1,11.32298,7.1192374
1,2,14.825539,7.1647787
1,4,10.115888,6.8138375
1,8,12.464549,7.221059
1,16,8.246087,5.949541
1,32,8.69775,6.192002
