Sampling rate,k,mae,stdv
1,1,8.1170845,5.93256
1,2,14.972754,7.150185
1,4,17.01972,7.2435923
1,8,10.810376,7.2097425
1,16,12.699833,7.1626253
1,32,2.2907543,1.9962738
