Sampling rate,k,mae,stdv
1,1,9.349148,6.4899573
1,2,14.694742,7.2057486
1,4,13.611325,7.165379
1,8,9.793317,6.8280864
1,16,8.631252,6.408361
1,32,10.834573,6.043197
