Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.014656587354838848,0.0,0.1202930361032486
0.0016667,2,0.0002867208560928702,0.0,0.016404034569859505
0.0016667,4,0.0009204067615792155,0.0,0.029814420267939568
0.0016667,8,1.9918075886380392e-05,0.0,0.004357567057013512
0.0016667,16,0.0027945259492844344,0.0,0.05283082649111748
0.0016667,32,0.0036129926331341265,0.0,0.05896450951695442
0.016667,1,0.06993635594844819,0.0,0.2033005952835083
0.016667,2,1.2465178108215331,0.0,1.0889382362365723
0.016667,4,0.8101445007324218,0.0,0.8654130697250366
0.016667,8,1.1694268846511842,0.0,1.052942156791687
0.016667,16,2.0480612659454347,0.0,1.410081148147583
0.016667,32,0.3627995753288269,0.0,0.5602894425392151
1,1,34.18176376342773,0.0,5.1360673904418945
1,2,42.856283569335936,0.0,5.869912624359131
1,4,33.13143310546875,0.0,4.901626110076904
1,8,35.53982650756836,0.0,5.09115743637085
1,16,35.537438507080076,0.0,5.089029312133789
1,32,44.996875305175784,0.0,6.161131381988525
15,1,42.91749252319336,0.0,4.679139614105225
15,2,41.71338256835938,0.0,4.593102931976318
15,4,40.548664245605465,0.0,4.539855480194092
15,8,40.99826110839844,0.0,4.9989447593688965
15,16,40.52533630371094,0.0,4.563268661499023
15,32,41.08732925415039,0.0,4.880887985229492
30,1,0.022761284708976745,0.0,0.15010826289653778
30,2,0.0042452293261885645,0.0,0.06433801352977753
30,4,0.0019233937840908767,0.0,0.04378378018736839
30,8,0.011106296665966511,0.0,0.10533478111028671
30,16,0.0019366005901247263,0.0,0.04087033122777939
30,32,0.004745941087603569,0.0,0.06695692986249924
55,1,45.6559423828125,0.0,6.089138984680176
55,2,40.18238525390625,0.0,5.653314113616943
55,4,37.211329803466796,0.0,5.319479465484619
55,8,39.68720169067383,0.0,5.555156230926514
55,16,37.196054229736326,0.0,5.268970489501953
55,32,37.343273620605466,0.0,5.290877819061279
