Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.00021278784981404897,0.0,0.007890023291110992
0.0016667,2,0.0006137928497628309,0.0,0.00870276428759098
0.0016667,4,0.0001447322906460613,0.0,0.008188461884856224
0.0016667,8,2.0720968295790952e-05,0.0,0.002265114337205887
0.0016667,16,3.4337984980084e-05,0.0,0.005763256456702948
0.0016667,32,7.730477693257854e-05,0.0,0.008791286498308182
0.016667,1,0.06759187757968903,0.0,0.1931658536195755
0.016667,2,1.2487188148498536,0.0,1.0904995203018188
0.016667,4,0.8101290941238404,0.0,0.8654043078422546
0.016667,8,1.1694644594192505,0.0,1.0529671907424927
0.016667,16,2.048058567047119,0.0,1.4100804328918457
0.016667,32,0.3529901647567749,0.0,0.538948655128479
1,1,34.18193862915039,0.0,5.136071681976318
1,2,42.806633148193356,0.0,5.835987091064453
1,4,33.11519683837891,0.0,4.891082763671875
1,8,35.53355392456055,0.0,5.071278095245361
1,16,35.53200546264648,0.0,5.072270393371582
1,32,44.97714385986328,0.0,6.143413066864014
15,1,42.965337677001955,0.0,5.000737190246582
15,2,41.72991622924805,0.0,4.657449722290039
15,4,40.525914611816404,0.0,4.504251480102539
15,8,40.51941131591797,0.0,4.530835151672363
15,16,40.51848266601562,0.0,4.522046089172363
15,32,40.500144500732425,0.0,4.512924671173096
30,1,0.0002172463718761719,0.0,0.003829914378002286
30,2,0.0016106430860236287,0.0,0.03937537595629692
30,4,6.758224539225921e-05,0.0,0.007276617456227541
30,8,0.0009358453447930515,0.0,0.02989036962389946
30,16,0.0002917276514926925,0.0,0.01279272511601448
30,32,0.00022748363437131048,0.0,0.011281142011284828
55,1,45.562715454101564,0.0,6.083754062652588
55,2,40.1115788269043,0.0,5.549163341522217
55,4,37.19768508911133,0.0,5.274110317230225
55,8,39.66619934082031,0.0,5.513358116149902
55,16,37.19315734863281,0.0,5.258238315582275
55,32,37.38357131958008,0.0,5.43556022644043
