Sampling rate,k,mse,accuracy,mae
0.0016667,1,0.00016077077147201634,0.0,0.005568291526287794
0.0016667,2,0.0006977937172769088,0.0,0.005255628377199173
0.0016667,4,0.00011023061626474372,0.0,0.007213263306766748
0.0016667,8,2.0312212711814936e-07,0.0,0.0003300814423710108
0.0016667,16,5.368782061850652e-05,0.0,0.0072681535966694355
0.0016667,32,1.1452525836830318e-06,0.0,0.0005055081564933062
0.016667,1,0.06782900452613831,0.0,0.19068826735019684
0.016667,2,1.281387677192688,0.0,1.1052045822143555
0.016667,4,0.811715669631958,0.0,0.866936445236206
0.016667,8,1.1695404958724975,0.0,1.053009033203125
0.016667,16,2.0480672454833986,0.0,1.4100836515426636
0.016667,32,0.3652450895309448,0.0,0.5583232045173645
1,1,34.18575408935547,0.0,5.135899066925049
1,2,42.827871856689455,0.0,5.836766242980957
1,4,33.11618003845215,0.0,4.89360237121582
1,8,35.53405822753906,0.0,5.074850082397461
1,16,35.53305023193359,0.0,5.078373432159424
1,32,44.97740020751953,0.0,6.145040512084961
15,1,50.2765869140625,0.0,5.366304874420166
15,2,50.289864196777344,0.0,5.2111358642578125
15,4,40.55208190917969,0.0,4.537716388702393
15,8,40.510354614257814,0.0,4.5280914306640625
15,16,40.52211669921875,0.0,4.559048652648926
15,32,41.03584548950195,0.0,5.017833709716797
30,1,0.00021589940486592242,0.0,0.007344875484704971
30,2,0.00023157673713285475,0.0,0.013157474808394909
30,4,0.0007092076120898128,0.0,0.024341201409697533
30,8,0.02653318040072918,0.0,0.15998822450637817
30,16,0.0013297340320423245,0.0,0.029044874012470245
30,32,0.012506685815751553,0.0,0.0842166319489479
55,1,45.56816787719727,0.0,6.078689098358154
55,2,42.15692352294922,0.0,5.832592010498047
55,4,37.524950408935545,0.0,5.396418571472168
55,8,39.79658187866211,0.0,5.643604278564453
55,16,37.284190521240234,0.0,5.366772651672363
55,32,37.31790466308594,0.0,5.388700008392334
